Code_ADN	Og_acc	MOY1720_M1	MOY1720_M2	MOY1720_M3	MOY1720	MOY1720norm	MOY1720_M1norm	MOY1720_M2norm	MOY1720_M3norm
HP	63	0.0709788808	0.437192188	-0.0264728585	0.1605660701	0.0105939316024203	0.12456723462426	0.288116209042774	0.0236649852080337
HQ	478	0.0551873804	0.4937517794	0.2018774309	0.2502721969	0.102745322168666	0.107906801582407	0.390996726220543	0.267128143476133
HR	182	0.3867096564	0.3793840483	0.3175863947	0.3612266998	0.222016378387175	0.481387177364898	0.523007792030869	0.399538783900487
HS	405	0.0154289217	-0.4223145957	-0.6286090739	-0.345164916	-0.427537233475997	0.0664877642445928	-0.220743081526298	-0.48430375806695
HT	184	-0.0347821397	-0.4710321853	-0.1561796523	-0.2206646591	-0.33382941910861	0.0152756101079438	-0.107544040554993	-0.103309145766331
HV	178	0.2918485723	0.024294037	-0.0005196093	0.1052076666	-0.0442869362212774	0.369582044964796	0.226401259101545	0.0500875117362241
IA	113	-0.3127474405	-0.4890624443	-0.2518005548	-0.3512034799	-0.431814882789896	-0.244646529432125	-0.226013661050973	-0.191248390132639
IB	238	-0.4179110928	0.2317874081	-0.0278325995	-0.0713187614	-0.208579307716562	-0.331642609158371	0.0390529209589211	0.0222897987712246
IC	127	0.5282402598	0.4155198775	0.1612230839	0.3683277404	0.229842924723465	0.655141459690628	0.531631322480667	0.222012398884463
ID	119	0.4131754122	-0.2998437506	-0.7150542473	-0.2005741952	-0.317764992959693	0.513255425405098	-0.0884912120369317	-0.537434551209253
IE	138	0.7032841563	0.4346068759	0.5818546952	0.5732485758	0.465290198596104	0.881034832871246	0.789231920102222	0.723065049487954
IG	488	0.1573394011	0.4598121948	0.5719195765	0.3963570575	0.260958359359683	0.217741617281857	0.565872221579473	0.710392861583349
IH	86	0.6715020484	0.2368537723	0.330327091	0.4128943039	0.279481707861895	0.839142916260502	0.586224606887738	0.414472892475276
IK	425	0.1626993151	0.4200179848	0.1245352977	0.2357508659	0.0875637063091879	0.223637568639207	0.37410567601586	0.181942757241605
IL	418	-0.2453842053	-0.637799981	-0.3865506906	-0.423244959	-0.480810604722591	-0.185504389807899	-0.28725426278543	-0.306403086567097
IM	427	-0.0020524295	-0.6347056207	-0.4275108108	-0.354756287	-0.434319598157269	0.0485178006185364	-0.229104847768176	-0.339245719067228
IN	100	-0.4843049645	-0.3935608697	-0.0196472147	-0.2991710163	-0.394124366438694	-0.383016990505516	-0.179920390476444	0.0305819561013586
IP	264	-0.6792176808	0.1177426429	0.0383585755	-0.1743721541	-0.296437992377826	-0.516149073276193	-0.0633248189560072	0.0902825541487663
IQ	209	-0.1411950113	0.2278328698	0.2050903929	0.0972427505	-0.0520551749537083	-0.0890831449323248	0.217635420697252	0.270725346431626
IR	136	0.441986794	-0.4849469959	0.4851360828	0.1473919603	-0.00260633849235907	0.548277190577967	0.273304992917921	0.601361966968435
IS	492	-0.3206894762	0.0004143616	0.0699132612	-0.0834539511	-0.219245923214101	-0.251447433999354	0.0267214502855769	0.123439264297741
IT	415	-0.0284727733	-1.1042439318	-0.3682097493	-0.5003088181	-0.52880746400629	0.0216426697181498	-0.349291010630346	-0.291361173499165
IV	475	0.2089230445	-0.2783289491	0.273036844	0.0678769798	-0.0804131540206571	0.275022373602009	0.185566912684789	0.347867433248258
